Source,Earthquake ID,Version,Datetime,Magnitude,Depth,Number of Stations,Region,Location
ci,15212961,2,09/09/2012 10:14:19 AM,1,5.5,47,Southern California,"(33.7565, -116.139)"
hv,60395541,1,09/09/2012 10:10:00 AM,1.7,21.9,32,"Hawaii region, Hawaii","(19.605, -156.1145)"
us,c000cjgy,5,09/09/2012 10:02:08 AM,4.3,10,22,Red Sea,"(23.3711, 36.3749)"
ci,15212953,2,09/09/2012 10:00:14 AM,1.8,0,18,Central California,"(37.2228, -117.7008)"
ci,15212945,2,09/09/2012 09:52:22 AM,1.9,0.7,39,"Gulf of Santa Catalina, California","(33.3967, -118.1397)"
us,c000cjgf,8,09/09/2012 09:50:02 AM,4.2,35.3,79,offshore El Salvador,"(12.6519, -88.5124)"
nc,71839965,0,09/09/2012 09:41:56 AM,1.2,3.1,22,Northern California,"(38.8185, -122.7958)"
nc,71839970,2,09/09/2012 09:40:09 AM,1.1,7.8,13,Central California,"(36.3258, -120.888)"
us,c000cjg5,7,09/09/2012 09:39:15 AM,4.8,6.3,69,"south of Java, Indonesia","(-10.8392, 113.8171)"
nc,71839955,3,09/09/2012 09:37:48 AM,1.5,0.9,48,Northern California,"(38.822, -122.8238)"
us,c000cjfu,9,09/09/2012 09:36:40 AM,5.1,30.8,393,Kuril Islands,"(45.2814, 151.3277)"
nc,71839950,2,09/09/2012 09:31:34 AM,1.8,9.7,38,Central California,"(36.3313, -120.885)"
pr,12253001,0,09/09/2012 09:10:42 AM,3.1,26,5,Virgin Islands region,"(19.1746, -64.2512)"
ci,15212937,2,09/09/2012 08:34:17 AM,1.3,9.1,31,Southern California,"(33.023, -115.541)"
ci,15212929,4,09/09/2012 08:30:50 AM,2.1,10,15,"Baja California, Mexico","(31.8077, -116.1452)"
nc,71839930,1,09/09/2012 08:15:45 AM,1.5,3,30,Northern California,"(38.8128, -122.8245)"
ak,10555215,1,09/09/2012 08:00:14 AM,1,34.8,5,Southern Alaska,"(61.5424, -147.8514)"
nc,71839920,2,09/09/2012 07:56:40 AM,1,6.6,18,Central California,"(36.746, -121.3228)"
nc,71839915,0,09/09/2012 07:44:57 AM,1.2,2.1,18,Northern California,"(38.785, -122.7353)"
us,c000cjdw,7,09/09/2012 07:26:06 AM,4.3,120.3,54,southern Greece,"(36.8619, 24.422)"
nc,71839910,2,09/09/2012 07:19:25 AM,1.1,2,53,Northern California,"(38.825, -122.8055)"
hv,60395521,1,09/09/2012 07:12:32 AM,2.2,27.7,41,"Island of Hawaii, Hawaii","(19.833, -155.3815)"
ci,15212921,2,09/09/2012 07:12:08 AM,1.3,7.5,25,Southern California,"(33.0123, -115.5288)"
ci,15212913,2,09/09/2012 07:06:23 AM,1.4,4.9,23,Central California,"(36.9665, -117.6715)"
ak,10555202,1,09/09/2012 07:01:54 AM,1.2,2.9,8,Southern Alaska,"(61.4965, -151.8101)"
ci,15212905,3,09/09/2012 06:39:10 AM,1.7,6.2,49,Southern California,"(34.8658, -116.4458)"
ci,15212897,2,09/09/2012 06:34:34 AM,1.8,9.2,68,Central California,"(35.8382, -117.544)"
nc,71839885,0,09/09/2012 06:25:43 AM,1.1,2.3,12,Northern California,"(38.752, -122.7007)"
ak,10555192,1,09/09/2012 06:12:05 AM,1.5,21,12,Southern Alaska,"(61.2831, -146.8162)"
nc,71839880,0,09/09/2012 05:49:14 AM,1,2.6,19,Northern California,"(38.8372, -122.826)"
ci,15212881,2,09/09/2012 05:49:04 AM,1,8.4,64,Southern California,"(34.3282, -116.9012)"
us,c000cmre,9,09/09/2012 05:39:36 AM,6,25.9,210,Kuril Islands,"(49.2675, 155.7304)"
us,c000cjd2,7,09/09/2012 05:39:16 AM,5.2,20.1,481,Kuril Islands,"(49.388, 155.591)"
ak,10555176,1,09/09/2012 05:33:23 AM,2.5,13.9,29,Southern Alaska,"(60.6247, -147.6763)"
us,c000cjc7,8,09/09/2012 05:14:52 AM,4.7,11.9,226,"Oaxaca, Mexico","(16.2297, -98.1979)"
nn,00388164,9,09/09/2012 05:13:03 AM,1.2,6.6,10,Nevada,"(38.5526, -118.2461)"
ak,10555170,1,09/09/2012 05:10:15 AM,1.7,109.6,19,Central Alaska,"(62.5864, -151.4249)"
ak,10555166,1,09/09/2012 04:54:49 AM,1.2,21.8,8,northern Alaska,"(65.4061, -147.9507)"
ak,10555163,1,09/09/2012 04:38:37 AM,1.7,27.2,9,northern Alaska,"(65.367, -147.951)"
ci,15212857,2,09/09/2012 04:36:59 AM,1.9,0.7,20,Central California,"(37.2332, -117.695)"
nm,091012b,A,09/09/2012 04:33:03 AM,1.4,5.1,11,Arkansas,"(35.7138, -90.1985)"
us,c000cjaa,5,09/09/2012 03:30:27 AM,4.4,22.2,26,"south of Bali, Indonesia","(-10.7491, 114.0533)"
ci,15212825,3,09/09/2012 03:25:01 AM,1,10.9,78,Southern California,"(33.357, -116.2915)"
nc,71839870,2,09/09/2012 02:57:56 AM,1.1,8.8,20,Central California,"(36.604, -121.2138)"
ci,15212801,2,09/09/2012 02:55:53 AM,2,1.6,107,Southern California,"(34.4172, -117.7725)"
pr,12253000,0,09/09/2012 02:08:59 AM,3,27,7,Puerto Rico region,"(18.6287, -66.7366)"
us,c000cj9f,7,09/09/2012 01:58:52 AM,3.4,4.9,31,Oklahoma,"(35.3788, -96.5429)"
nc,71839850,1,09/09/2012 01:36:59 AM,1.9,2,36,Northern California,"(38.8057, -122.77)"
ci,15212777,3,09/09/2012 01:30:15 AM,1.3,5,41,Southern California,"(32.6542, -115.9355)"
nc,71839840,3,09/09/2012 01:10:28 AM,1.1,0,8,Northern California,"(39.0038, -122.1177)"
ak,10555148,1,09/09/2012 12:54:46 PM,1.5,80,5,"Kenai Peninsula, Alaska","(60.7947, -151.8176)"
uu,09090024,2,09/09/2012 12:24:35 PM,1.4,2.2,10,Nevada,"(37.2833, -114.1293)"
us,c000cj91,8,09/09/2012 12:13:50 PM,4.9,9.9,94,Kermadec Islands region,"(-28.0868, -176.5262)"
ak,10555138,2,09/08/2012 11:55:49 AM,1,0.9,9,Central Alaska,"(63.1062, -151.5368)"
ci,15212689,4,09/08/2012 11:44:05 AM,1.8,2.7,95,Southern California,"(34.4152, -117.7702)"
ci,15212681,2,09/08/2012 11:31:37 AM,1.3,10.9,28,Southern California,"(33.0175, -115.542)"
ak,10555130,4,09/08/2012 11:31:00 AM,1.3,3.5,11,Alaska Peninsula,"(58.2313, -155.1297)"
ak,10555125,2,09/08/2012 11:27:56 AM,2.4,34.5,46,Southern Alaska,"(61.5342, -146.427)"
nc,71839815,2,09/08/2012 11:06:40 AM,1,4.7,8,"Lassen Peak area, California","(40.4463, -121.5533)"
nc,71839810,2,09/08/2012 11:05:31 AM,1.5,5.1,8,"Lassen Peak area, California","(40.4462, -121.5528)"
uw,60449497,2,09/08/2012 11:01:24 AM,2.3,0,10,"British Columbia, Canada","(49.4507, -120.5342)"
ci,15212657,2,09/08/2012 10:55:29 AM,1.2,10.1,63,Southern California,"(34.044, -116.4282)"
pr,12252006,0,09/08/2012 10:44:22 AM,3.4,15,13,Virgin Islands region,"(19.242, -64.6331)"
ci,15212649,3,09/08/2012 10:27:45 AM,1,4.5,37,Central California,"(35.8122, -117.7173)"
uu,09082227,2,09/08/2012 10:27:26 AM,1.3,2.3,6,Utah,"(39.5345, -110.3467)"
nc,71839785,3,09/08/2012 10:23:08 AM,1.3,2.2,43,Northern California,"(38.8165, -122.8025)"
ci,15212641,2,09/08/2012 10:17:34 AM,2.3,10.1,66,Southern California,"(33.0158, -115.5355)"
ci,15212633,7,09/08/2012 10:17:10 AM,2.2,9.9,47,Southern California,"(33.0145, -115.5375)"
nc,71839780,2,09/08/2012 09:59:43 AM,1,3.4,32,Central California,"(36.0013, -120.5577)"
ak,10555102,2,09/08/2012 09:44:41 AM,1.5,36.3,23,Southern Alaska,"(61.7508, -149.6352)"
ak,10555101,2,09/08/2012 09:39:38 AM,1,7.9,12,Central Alaska,"(63.2635, -150.8269)"
ci,15212617,2,09/08/2012 09:18:59 AM,1.9,16.7,31,"Baja California, Mexico","(32.2618, -116.552)"
us,c000cj66,5,09/08/2012 09:11:41 AM,4.4,10,24,near the coast of Djibouti,"(11.9383, 43.4607)"
ci,15212609,2,09/08/2012 09:04:44 AM,1,2.2,26,Southern California,"(34.4177, -117.7707)"
pr,12252005,0,09/08/2012 09:03:55 AM,3.3,60,7,Virgin Islands region,"(19.6184, -64.17)"
ci,15212601,2,09/08/2012 08:59:07 AM,1.5,2.1,65,Southern California,"(34.419, -117.7707)"
ak,10558375,2,09/08/2012 08:56:43 AM,2.9,33,15,south of Alaska,"(54.8858, -158.0095)"
us,c000cj68,2,09/08/2012 08:55:50 AM,4.8,10,35,"southeast of the Ryukyu Islands, Japan","(23.6015, 126.7479)"
nc,71839765,0,09/08/2012 08:44:02 AM,1,0,8,Northern California,"(38.8163, -122.7912)"
ci,15212593,2,09/08/2012 08:42:03 AM,1,11.1,21,Southern California,"(32.6195, -116.1002)"
nc,71839760,0,09/08/2012 08:40:21 AM,1.2,2.2,23,Northern California,"(38.8348, -122.8015)"
us,c000cj5l,9,09/08/2012 08:29:31 AM,5.6,35.1,647,Costa Rica,"(10.0735, -85.3416)"
ci,15212577,2,09/08/2012 08:06:27 AM,1.4,12.2,20,Southern California,"(32.6528, -115.8222)"
ci,15212569,2,09/08/2012 07:56:00 AM,1,13.6,54,Southern California,"(33.807, -116.9565)"
uu,09081943,2,09/08/2012 07:43:22 AM,1,2.5,8,"Yellowstone National Park, Wyoming","(44.7828, -110.4068)"
ak,10555063,2,09/08/2012 07:38:55 AM,1.3,57.7,19,Central Alaska,"(62.2443, -150.235)"
ak,10555062,2,09/08/2012 07:33:00 AM,1.3,15.3,16,Southern Alaska,"(61.2107, -150.2529)"
nc,71839745,1,09/08/2012 07:26:11 AM,1.4,4.7,26,Northern California,"(38.8022, -122.7632)"
us,c000cj4p,8,09/08/2012 07:19:49 AM,4.3,270.7,118,"Kamchatka Peninsula, Russia","(53.1103, 156.5481)"
ak,10555050,2,09/08/2012 06:56:03 AM,2,26.9,17,"Andreanof Islands, Aleutian Islands, Alaska","(51.3941, -175.6249)"
nc,71839735,3,09/08/2012 06:52:40 AM,1.3,3.4,50,Northern California,"(38.8223, -122.7915)"
ak,10555042,2,09/08/2012 06:47:16 AM,2.5,98,59,Southern Alaska,"(60.2853, -152.5537)"
us,c000cj2r,7,09/08/2012 06:27:13 AM,4.8,8.8,74,"Java, Indonesia","(-6.598, 106.696)"
ak,10555037,2,09/08/2012 06:15:51 AM,1.5,5.3,17,"Southern Yukon Territory, Canada","(61.5162, -140.6529)"
uu,09081808,2,09/08/2012 06:08:34 AM,1,20.5,15,Wyoming,"(41.0637, -111.0368)"
ci,15212553,2,09/08/2012 06:06:05 AM,1,12.2,57,Southern California,"(33.2782, -116.7807)"
nc,71839730,2,09/08/2012 06:04:51 AM,1.7,8.6,42,Central California,"(36.1108, -120.0467)"
ak,10555035,2,09/08/2012 05:55:39 AM,1.6,111.4,22,Southern Alaska,"(61.9055, -151.8454)"
ak,10558366,2,09/08/2012 05:45:40 AM,1.1,38.5,12,Southern Alaska,"(61.5755, -146.5652)"
us,c000cj28,6,09/08/2012 05:45:37 AM,4.9,139.9,149,"eastern New Guinea region, Papua New Guinea","(-6.716, 146.1486)"
ak,10558365,2,09/08/2012 05:18:00 AM,2.4,159.7,27,Southern Alaska,"(59.8404, -153.5233)"
nc,71839715,2,09/08/2012 05:12:28 AM,1,2.2,32,Central California,"(36.0632, -120.6327)"
uu,09081656,2,09/08/2012 04:56:06 AM,2.7,1.2,21,Utah,"(39.0095, -111.4898)"
ak,10555015,3,09/08/2012 04:35:48 AM,2.2,159.8,13,"Andreanof Islands, Aleutian Islands, Alaska","(52.3957, -174.4642)"
us,c000cj0d,6,09/08/2012 04:31:23 AM,4.7,34.3,20,"Papua, Indonesia","(-3.3639, 135.4819)"
us,c000cj09,7,09/08/2012 04:27:39 AM,5.1,35,106,Molucca Sea,"(2.4048, 126.7318)"
ak,10558363,2,09/08/2012 04:19:50 AM,1.3,127.1,12,Central Alaska,"(63.2588, -150.7894)"
ci,15212497,2,09/08/2012 04:17:54 AM,1.3,9.3,51,Central California,"(35.8322, -117.6717)"
hv,60395421,1,09/08/2012 04:12:56 AM,1.7,39.1,15,"Island of Hawaii, Hawaii","(19.02, -155.4472)"
ak,10555004,2,09/08/2012 03:51:06 AM,1.4,75.3,22,Southern Alaska,"(61.7684, -151.2637)"
nc,71839700,2,09/08/2012 03:44:16 AM,2,6.4,24,Northern California,"(39.399, -123.2937)"
ak,10554996,2,09/08/2012 03:23:50 AM,1.2,5.1,18,Central Alaska,"(63.1691, -147.0876)"
hv,60395411,1,09/08/2012 03:19:44 AM,1.8,25.4,34,"Island of Hawaii, Hawaii","(19.4363, -155.256)"
nc,71839695,0,09/08/2012 03:16:54 AM,1.2,1.7,12,Northern California,"(38.7533, -122.7323)"
ak,10558360,2,09/08/2012 03:09:25 AM,1.1,20.3,9,northern Alaska,"(65.9974, -148.7389)"
ak,10554979,2,09/08/2012 02:19:28 AM,1,1.6,11,Central Alaska,"(62.9814, -144.1503)"
pr,12252000,0,09/08/2012 02:10:41 AM,3,39,7,Virgin Islands region,"(19.6098, -64.394)"
ci,15212441,2,09/08/2012 02:02:45 AM,1.5,7.6,39,Southern California,"(33.0152, -115.5403)"
nc,71839680,0,09/08/2012 01:41:57 AM,1,3.7,21,Northern California,"(38.8033, -122.8058)"
ci,15212425,0,09/08/2012 01:26:21 AM,1.8,54.4,16,Southern California,"(33.2008, -115.863)"
nc,71839665,2,09/08/2012 01:16:11 AM,1.1,2.6,9,Northern California,"(40.3557, -121.3362)"
ci,15212409,5,09/08/2012 01:09:28 AM,1.5,9.9,21,Southern California,"(32.6702, -115.923)"
pr,12252002,0,09/08/2012 01:03:11 AM,3.1,43,6,Virgin Islands region,"(19.6117, -64.408)"
nc,71839655,2,09/08/2012 12:54:05 PM,1.3,3.6,34,Central California,"(36.001, -120.5557)"
ak,10554951,2,09/08/2012 12:46:46 PM,1.7,69,26,Southern Alaska,"(61.3799, -150.9936)"
ak,10554949,2,09/08/2012 12:37:51 PM,1.1,12.8,19,Southern Alaska,"(61.3549, -147.4822)"
us,c000ciw6,6,09/08/2012 12:35:39 PM,4.7,35.7,56,"Minahasa, Sulawesi, Indonesia","(1.1403, 120.6646)"
ak,10558354,2,09/08/2012 12:31:45 PM,1.2,4.5,19,"Kenai Peninsula, Alaska","(60.9517, -151.1971)"
pr,12252003,0,09/08/2012 12:27:09 PM,2.9,5,10,Puerto Rico region,"(18.864, -67.5838)"
ak,10558353,2,09/08/2012 12:21:47 PM,1.9,57.8,8,Alaska Peninsula,"(55.206, -160.2996)"
ak,10554941,2,09/08/2012 12:11:34 PM,1.4,95.2,24,Central Alaska,"(62.4338, -151.5176)"
nc,71839645,2,09/08/2012 12:07:11 PM,1.8,7.6,40,Central California,"(36.1553, -120.0058)"
us,c000civt,6,09/08/2012 12:01:10 PM,4.3,43.1,46,Costa Rica,"(10.039, -85.4352)"
uu,09081139,2,09/08/2012 11:39:08 AM,1,1.1,8,"Yellowstone National Park, Wyoming","(44.2402, -110.7695)"
ci,15212393,2,09/08/2012 11:37:30 AM,1.5,12.8,68,Southern California,"(33.1575, -116.4353)"
uu,09081121,2,09/08/2012 11:21:21 AM,1.4,1.9,8,"Yellowstone National Park, Wyoming","(44.2412, -110.7803)"
ak,10554924,2,09/08/2012 11:19:53 AM,2.4,17.6,11,south of Alaska,"(54.886, -159.9348)"
uu,09081118,2,09/08/2012 11:18:31 AM,1.2,0.9,9,"Yellowstone National Park, Wyoming","(44.2398, -110.7625)"
ci,15212385,2,09/08/2012 11:18:23 AM,1.7,9.7,32,"Baja California, Mexico","(32.6333, -115.7145)"
ci,15212377,2,09/08/2012 11:16:44 AM,1,12.1,71,Southern California,"(34.0878, -116.7923)"
ak,10554915,3,09/08/2012 11:11:34 AM,2.7,34.6,12,"Fox Islands, Aleutian Islands, Alaska","(51.6928, -168.122)"
ak,10554900,2,09/08/2012 11:02:49 AM,1.4,36.7,22,Southern Alaska,"(61.5691, -149.76)"
ci,15212361,3,09/08/2012 10:54:16 AM,2.7,9.4,40,"Baja California, Mexico","(32.4732, -115.5952)"
us,c000cium,A,09/08/2012 10:51:43 AM,6.1,14.1,477,"Papua, Indonesia","(-3.1895, 135.0841)"
nc,71839630,0,09/08/2012 10:50:48 AM,1.1,2.6,13,Northern California,"(38.8407, -122.8295)"
nc,71839620,2,09/08/2012 10:46:31 AM,1.4,6.8,36,Central California,"(37.5342, -118.8253)"
nc,71839610,0,09/08/2012 10:35:25 AM,1,2.1,17,Northern California,"(38.8288, -122.8542)"
ak,10554890,2,09/08/2012 10:35:19 AM,2.6,52.2,12,Alaska Peninsula,"(55.2106, -159.9323)"
ak,10554884,2,09/08/2012 10:20:43 AM,1.3,0,8,Southern Alaska,"(61.24, -147.5224)"
ak,10554880,2,09/08/2012 10:09:56 AM,1.6,16.2,13,Alaska Peninsula,"(58.0861, -156.5385)"
us,c000ciub,4,09/08/2012 10:01:06 AM,4.1,3.5,0,central Turkey,"(37.329, 37.0847)"
us,c000ciuf,3,09/08/2012 09:50:22 AM,4.5,35.8,177,Costa Rica,"(10.3607, -85.6539)"
ak,10558342,2,09/08/2012 09:25:36 AM,1.9,17.2,8,Alaska Peninsula,"(54.5138, -161.4348)"
ci,15212345,2,09/08/2012 09:24:29 AM,1.4,5.7,29,Southern California,"(33.2875, -115.7062)"
us,c000city,5,09/08/2012 09:22:20 AM,4.6,25.1,20,"south of Java, Indonesia","(-10.9027, 113.8432)"
ak,10554872,2,09/08/2012 09:22:17 AM,1,27.8,10,Southern Alaska,"(61.487, -146.4198)"
ak,10554868,2,09/08/2012 09:20:58 AM,2.7,47.4,19,"Fox Islands, Aleutian Islands, Alaska","(52.8392, -168.1643)"
ak,10554864,2,09/08/2012 09:19:30 AM,1,13.9,12,northern Alaska,"(65.459, -148.111)"
nc,71839590,3,09/08/2012 09:03:12 AM,2.4,20.1,21,Northern California,"(40.2863, -124.3148)"
nc,71839600,2,09/08/2012 09:01:12 AM,1.7,8.4,39,Central California,"(36.1178, -120.0322)"
nc,71839580,3,09/08/2012 08:39:23 AM,2.7,7.8,109,Central California,"(36.2965, -120.308)"
uw,60019803,1,09/08/2012 08:37:54 AM,1.1,8.4,9,Oregon,"(45.071, -122.6918)"
ak,10554848,2,09/08/2012 08:24:35 AM,1.2,20,21,Southern Alaska,"(61.4332, -146.5459)"
ak,10554846,2,09/08/2012 08:12:39 AM,1.5,75.6,20,"Kenai Peninsula, Alaska","(60.196, -151.9765)"
ak,10554839,2,09/08/2012 07:50:31 AM,1.3,1.5,14,Southern Alaska,"(61.2834, -152.1987)"
us,c000cise,9,09/08/2012 07:36:35 AM,4.6,9.8,67,"south of Java, Indonesia","(-10.79, 113.9643)"
ci,15212321,2,09/08/2012 07:36:14 AM,1.3,1,17,Southern California,"(33.015, -115.5475)"
us,c000cisa,8,09/08/2012 07:35:38 AM,4.3,52.5,142,"Unimak Island region, Alaska","(53.7982, -164.9685)"
us,c000cis1,7,09/08/2012 07:18:17 AM,4.7,250.3,100,"Nicobar Islands, India region","(6.6479, 95.6137)"
pr,12252004,0,09/08/2012 07:14:50 AM,3.3,11,7,Virgin Islands region,"(19.6212, -64.3643)"
us,c000cirx,C,09/08/2012 06:54:19 AM,5.7,9.2,446,Mariana Islands region,"(21.5174, 145.9213)"
ak,10558328,2,09/08/2012 06:53:17 AM,2.1,23.1,8,Alaska Peninsula,"(54.5509, -161.7492)"
ak,10554808,2,09/08/2012 06:20:25 AM,1.4,0,8,Southern Alaska,"(61.1529, -146.9874)"
ak,10554806,2,09/08/2012 06:03:12 AM,1.2,33.5,15,Southern Alaska,"(61.3652, -148.8799)"
hv,60395296,1,09/08/2012 06:01:20 AM,2,27.2,28,"Island of Hawaii, Hawaii","(19.9152, -155.5737)"
ak,10558324,2,09/08/2012 05:43:16 AM,1.1,102.6,13,Central Alaska,"(63.0692, -150.4722)"
ci,15212297,2,09/08/2012 05:33:37 AM,1,9.5,39,Southern California,"(34.1617, -116.4062)"
ak,10554786,2,09/08/2012 05:21:08 AM,2.6,71.2,62,"Kodiak Island region, Alaska","(58.9917, -153.0919)"
ak,10554783,2,09/08/2012 05:16:09 AM,1.2,4.1,17,Central Alaska,"(63.4847, -151.3371)"
us,c000cir1,4,09/08/2012 05:09:56 AM,4.6,10,10,Ascension Island region,"(-7.0511, -12.3936)"
ak,10554776,2,09/08/2012 05:06:13 AM,1.4,31,24,Central Alaska,"(62.2509, -148.5884)"
uw,60449207,3,09/08/2012 04:57:45 AM,3.5,22.6,52,Oregon,"(45.1222, -122.6915)"
pr,12252001,0,09/08/2012 04:54:29 AM,3.6,66,9,Virgin Islands region,"(19.51, -64.2561)"
ak,10554769,2,09/08/2012 04:43:22 AM,2.4,63.2,39,"Kodiak Island region, Alaska","(58.9643, -152.8125)"
ak,10558314,2,09/08/2012 04:19:20 AM,1.9,4.7,6,"Fox Islands, Aleutian Islands, Alaska","(52.6227, -169.5496)"
ak,10558313,2,09/08/2012 04:12:40 AM,1.8,45,7,"Fox Islands, Aleutian Islands, Alaska","(53.3679, -166.3599)"
ak,10554761,2,09/08/2012 04:12:23 AM,1.2,65.2,18,Central Alaska,"(62.5137, -149.1949)"
us,c000ciq3,7,09/08/2012 04:11:48 AM,5.2,48.7,181,Solomon Islands,"(-9.8205, 160.3674)"
nc,71841360,2,09/08/2012 03:52:38 AM,1.3,18,17,Northern California,"(40.422, -122.1388)"
nc,71839535,3,09/08/2012 03:37:27 AM,1.7,3.4,53,Northern California,"(38.8193, -122.7937)"
us,c000cipr,5,09/08/2012 03:17:37 AM,4.2,12.5,28,Turkmenistan,"(38.5274, 55.6913)"
ak,10554750,2,09/08/2012 03:09:49 AM,1.5,20,24,Southern Alaska,"(61.2956, -146.9628)"
nc,71839525,2,09/08/2012 02:27:50 AM,1.1,9.1,29,Central California,"(37.4887, -118.806)"
us,c000ciph,8,09/08/2012 02:27:21 AM,4.2,35.1,24,off the coast of El Salvador,"(12.0901, -88.5329)"
ak,10554743,2,09/08/2012 02:12:50 AM,1.3,3.9,14,Southern Alaska,"(60.4487, -147.7728)"
hv,60395171,1,09/08/2012 02:05:45 AM,2,41.6,25,"Island of Hawaii, Hawaii","(19.2555, -155.1165)"
us,c000cinx,8,09/08/2012 01:41:25 AM,4.6,55.7,98,"Shikoku, Japan","(33.7538, 132.1834)"
uw,60449157,2,09/08/2012 01:38:50 AM,1.4,25.9,15,Oregon,"(45.0903, -122.5737)"
nc,71839515,2,09/08/2012 01:30:16 AM,1.7,6.6,43,Central California,"(36.7493, -121.3263)"
nc,71839505,3,09/08/2012 01:12:49 AM,1.8,7.1,48,Central California,"(36.159, -120)"
nn,00388123,9,09/08/2012 01:01:00 AM,2.2,35.7,15,Nevada,"(39.6805, -117.7907)"
us,2012fgar,5,09/08/2012 12:58:27 PM,2.1,5,13,New York,"(41.0169, -73.5732)"
nc,71839495,3,09/08/2012 12:56:30 PM,1.8,7.2,33,Central California,"(36.165, -120.0107)"
ak,10558305,2,09/08/2012 12:40:17 PM,1.8,60.7,10,"Kodiak Island region, Alaska","(58.1623, -152.7204)"
ak,10554724,2,09/08/2012 12:27:59 PM,1.1,13.6,9,Central Alaska,"(64.6714, -147.7473)"
ci,15212233,3,09/08/2012 12:23:29 PM,1.9,5.3,85,Southern California,"(34.1425, -116.7988)"
ak,10558303,2,09/08/2012 12:22:50 PM,1.6,114.5,19,Southern Alaska,"(61.1825, -152.2497)"
nc,71839475,3,09/08/2012 12:12:31 PM,1.8,8.8,59,Northern California,"(37.3585, -121.7178)"
ak,10554712,2,09/07/2012 11:51:35 AM,2.6,73.4,21,"Unimak Island region, Alaska","(54.6014, -163.1646)"
ak,10554710,2,09/07/2012 11:47:43 AM,3.5,74.1,28,"Andreanof Islands, Aleutian Islands, Alaska","(51.5607, -179.9123)"
nc,71839470,0,09/07/2012 11:36:01 AM,1.1,1.7,13,Northern California,"(38.879, -122.806)"
nc,71839465,3,09/07/2012 11:18:03 AM,1.4,1.8,46,Northern California,"(38.8152, -122.7872)"
uw,60449137,1,09/07/2012 11:10:09 AM,1.6,25,35,"San Juan Islands region, Washington","(48.4875, -122.688)"
ak,10554694,2,09/07/2012 11:09:39 AM,2.2,12.4,9,Alaska Peninsula,"(54.25, -162.4893)"
nc,71839460,3,09/07/2012 11:00:42 AM,2.2,9.1,73,Northern California,"(37.3033, -122.3585)"
socrata,987654321,0,05/01/2014 10:14:21 AM,4.2,0,1,Socrata University,"(47.59815, -122.33454)"
hv,hv60698601,,05/22/2014 12:04:29 PM,1.7,5.2,,"13km NE of Pahala, Hawaii","(19.2922, -155.3845)"
ak,ak11269268,,05/21/2014 11:58:55 AM,1.1,0,,"52km ENE of Cape Yakataga, Alaska","(60.2113, -141.5399)"
nc,nc72225286,,05/21/2014 11:42:09 AM,0.9,6.1,10,"13km W of Templeton, California","(35.5637, -120.8553)"
pr,pr14141009,,05/21/2014 11:37:38 AM,3.1,35,15,"130km N of Hatillo, Puerto Rico","(19.6567, -66.6453)"
ci,ci15503985,,05/21/2014 11:02:11 AM,0.89,7.78,25,"6km NW of Lake Arrowhead, California","(34.2863333, -117.2418333)"
ak,ak11269113,,05/21/2014 10:50:48 AM,2,82.2,,"32km S of Butte, Alaska","(61.2487, -148.9894)"
uw,uw60778692,,05/21/2014 10:42:08 AM,1.8,0,,"26km WNW of Pomeroy, Washington","(46.573, -117.9182)"
us,usa000qcbm,,05/21/2014 10:29:59 AM,4.7,127.7,,"58km S of Pucallpa, Peru","(-8.9032, -74.47)"
ak,ak11269110,,05/21/2014 10:25:40 AM,1.1,1.7,,"49km E of Cape Yakataga, Alaska","(60.0653, -141.5335)"
nc,nc72225276,,05/21/2014 10:22:25 AM,0.4,2.4,7,"6km WNW of Cobb, California","(38.836, -122.7942)"
ak,ak11269108,,05/21/2014 10:21:48 AM,1.2,11,,"103km W of Cantwell, Alaska","(63.4765, -151.0059)"
ak,ak11269102,,05/21/2014 10:08:18 AM,2.4,4,,"109km NW of Talkeetna, Alaska","(63.0906, -151.4444)"
ak,ak11269085,,05/21/2014 09:53:05 AM,1.3,0,,"31km NNE of Whittier, Alaska","(61.0476, -148.5526)"
pr,pr14141008,,05/21/2014 09:42:26 AM,2.7,89,3,"47km NNE of Road Town, British Virgin Islands","(18.7994, -64.4229)"
ci,ci15503969,,05/21/2014 09:30:02 AM,1.85,2.69,53,"2km SE of La Habra, California","(33.9173333, -117.932)"
ak,ak11268998,,05/21/2014 09:23:55 AM,0.6,18.6,,"28km WSW of Cantwell, Alaska","(63.2618, -149.4516)"
nc,nc72225256,,05/21/2014 09:16:51 AM,0.6,4.2,6,"10km NW of The Geysers, California","(38.839, -122.8548)"
nc,nc72225246,,05/21/2014 09:14:45 AM,2.1,8.6,45,"24km SW of Coalinga, California","(35.9572, -120.5125)"
uw,uw60778582,,05/21/2014 09:13:45 AM,2.4,0,,"2km NNE of Princeton, Canada","(49.4815, -120.5007)"
uw,uw60778567,,05/21/2014 08:57:51 AM,0.6,7.3,,"34km NNW of Carson, Washington","(46.0003, -122.0122)"
nc,nc72225236,,05/21/2014 08:55:33 AM,1.1,3.5,30,"7km NW of The Geysers, California","(38.8147, -122.8218)"
nc,nc72225231,,05/21/2014 08:53:29 AM,1,2.4,13,"4km SE of The Geysers, California","(38.7522, -122.7152)"
ak,ak11268939,,05/21/2014 08:48:33 AM,1.2,10.5,,"179km E of Chitina, Alaska","(61.5382, -141.07)"
ak,ak11268936,,05/21/2014 08:47:50 AM,1.3,0,,"171km E of Chitina, Alaska","(61.5539, -141.2094)"
